issue,language ,refrence ,quote,content_type,links,Tips
Anger,English,Bhagavad Gita2.62–63,"From attachment comes desire, from desire comes anger; anger leads to delusion, loss of memory, and the ruin of intelligence.",video,https://www.youtube.com/watch?v=QAsJvKsd2Xk,Pause before reacting – Count to 10 slowly and breathe deeply before you speak.
Anger,Hindi,Bhagavad Gita18.53,"Ahankaar, bal, ghamand, kaam aur krodh ka tyaag karo, man shuddh hota hai.",video,https://www.youtube.com/watch?v=dXjUEA570aE,Change your environment – Step away from the situation for a few minutes.
Anger,English,Bhagavad Gita2.70,"As rivers flow into the ocean without disturbing it, so desires enter the mind of one who is at peace.",video,https://www.youtube.com/watch?v=t2_FWwqvyMw,"Think about the result – Ask yourself, “Will my reaction help or hurt the situation?”Ask yourself, “Will my reaction help or hurt the situation?”"
Anger,English,Bhagavad Gita4.13,Do not be attached to action or inaction; perform your duties without ego,video,https://www.youtube.com/watch?v=tV2Ecd7m6Tc,"Focus on your breath – Take long, deep breaths to relax your mind."
Anger,English,Bhagavad Gita6.5,Elevate yourself by your own mind; do not degrade yourself. The mind is both your friend and your enemy.,video,https://www.youtube.com/watch?v=hdS4nP0-snk,Physical activity releases tension and reduces anger.
Anger,Hindi,Bhagavad Gita4.13,"Gun aur karm ke adhaar par srishti bani hai; mat krodh karo, apne kartavya karo.",video,https://www.youtube.com/watch?v=plS2sr3HMYg,Slower speech can prevent sharp words.
Anger,Hindi,Bhagavad Gita5.23,Krodh ko apne upar haavi mat hone do.,short clip,https://www.youtube.com/shorts/Jtlmkkjbmzk,Drink water – It naturally cools your body and helps you calm down.
Anger,Hindi,Bhagavad Gita6.6,"Jo man aur indriyon ko jeet leta hai, wahi asli yogi hai.",short clip,https://www.youtube.com/shorts/t0p3n_OyQns,Think of a happy memory – Visualize a place or moment you love.
Anger,Hindi,Bhagavad Gita16.1-3,"Bhagwan ke bhakt krodh, lobh aur ahankaar se door rehte hain.",short clip,https://www.youtube.com/shorts/v3JKrB1cPTw,Practice gratitude –List 3 things you’re thankful for when you feel upset.
Anger,English,Bhagavad Gita18.53,Fix your mind on the Divine and remain free from anger and pride.,short clip,https://www.youtube.com/shorts/DvvXPl6Rl9Y,Don’t hold grudges – Let go of past incidents to stay light-hearted.
Anger,English,Premanand Ji Maharaj,"The only way to calm anger is to shift our focus: instead of contemplating what duty others have towards us, we should consider what duties we have towards them.",short clip,https://www.youtube.com/shorts/gORmCGxQOU8,"When angry, look at a glass of water and feel its coolness. Your mind will start matching its calmness."""
Anger,English,Premanand Ji Maharaj,If you see God in the person before you and chant His name—and anger still builds—become silent.,short clip,https://www.youtube.com/shorts/5siuVoFE35k,"When anger rises, silently chant your Guru’s or God’s name three times and take three deep breaths. The reaction’s intensity will drop"
Anger,English,BK Shivani,Anger and anxiety are the ones that tire you the most,short clip,https://www.youtube.com/watch?v=PmQ2FJBJBRc,"Choose silence instead of speaking when angry — the longer you stay quiet, the faster your mind stabilizes"
Anger,English,BK Shivani,"When the iron rod becomes hot, you can mold it into any shape… never lose your temper, or people will mold you according to their own.",short clip,https://www.youtube.com/watch?v=iYjmXxlcm4U,"When angry at someone, look at their forehead or feet instead of their eyes. This visual shift reduces ego clashes."
Anger,English,Bhagavad Gita6.5,"One who can control the urge of speech, mind, and anger is truly disciplined.",short clip,https://www.youtube.com/shorts/5j3e_AzayrM,Avoid “always” & “never” words --They make arguments worse.
Life Transitions,Hindi,Premanand Ji Maharaj,"Jeevan mein har badlav ek nayi shiksha lekar aata hai. Jo badlav ko swikar karta hai, wahi pragati karta hai.",video,https://youtu.be/LUEi9xdH2Yg?si=iID_NcEcs-jMJjfk,"Embrace change, stay flexible, and trust the process of growth."
Life Transitions,Hindi,Premanand Ji Maharaj,"Dukh ya sukh ke roop mein aane wale badlav, humari atma ko majboot banane ke liye hote hain.",video,https://youtu.be/tUvoCAGwkTI?si=PE51Tul--_2lm1_P,"Focus on what you can control, let go of what you can’t, and take small steps forward."
Life Transitions,English,Brahma Kumaris,"Transitions are opportunities to reconnect with your true self, the soul, and rewrite your destiny.",video,https://youtu.be/XGkT7B02s9Y?si=C8_CMue2w3ml4hJ6,"Reflect on past experiences, learn from them, and apply wisdom to new situations."
Life Transitions,English,Sadhguru,"Every transition is not an end, but a doorway to the next possibility.",video,https://youtu.be/EPdY0qZte-g?si=5LWqO1GpJvJjGCcl,"Stay positive, keep hope alive, and remind yourself that challenges are temporary."
Life Transitions,English,Sadhguru,"Don’t resist life transitions. Resistance creates suffering, acceptance creates growth.",video,https://youtu.be/DURJ_tUZB3U?si=UCUNbN31pCmK-cJM,"Seek support from friends, family, or mentors, and share your journey openly."
Life Transitions,English,"Bhagavad Gita Chapter 2 , Verse 22","As a person puts on new garments, giving up old ones, the soul similarly accepts new material bodies, giving up the old and useless ones.",video,https://youtu.be/Kk2Yy70IxOw?si=pL8ozOBsIvcDLSqt,"Set realistic goals, prioritize actions, and create a clear path through uncertainty."
Life Transitions,English,"Bhagavad Gita Chapter 2, Verse 13","Your body keeps changing, but your soul remains pure. Don’t identify your worth with appearance.",video,https://youtu.be/pashzLmba0I?si=zBAT5DeN7lhVjZwY,"Practice self-care, rest when needed, and maintain mental and physical balance."
Life Transitions,Hindi,Premanand Ji Maharaj,"Roop, rang aur shareer ke roop se khud ko naapna, atma ki mahanta ko bhoolna hai.",video,https://youtu.be/d8p-5WcXoRs?si=4fJO9yd3C7Zh115M,"Be patient, accept delays and setbacks, and trust that growth takes time."
Life Transitions,Hindi,Premanand Ji Maharaj,"Manushya ka asli saundarya uske charitra aur prem mein hai, shareer ke roop mein nahi.",video,https://youtu.be/ayDLsz4Y2Vk?si=yG1e_Ys4nMoxw8Nb,"Celebrate progress, no matter how small, and reinforce your resilience."
Life Transitions,English,Sadhguru,Your body is just a loan you have taken from this planet. Don’t suffer because of it.,video,https://youtu.be/BjVPyzegUOQ?si=ApWcJc2wg5L_CQIM,"Keep an open mind, explore new opportunities, and remain curious about the future."
Life Transitions,English,Sadhguru,Beauty is not about the shape of the body; it is about how alive you are.,video,https://youtu.be/taH8DlCTBWE?si=aQnUmB6xKJQ5cgXe,"Let go of past attachments, forgive yourself and others, and make space for new beginnings."
Life Transitions,English,Sadhguru,"If you are too identified with the body, insecurity will be natural. If you live as a soul, you will always feel free.",video,https://youtu.be/15Z1mtiJnyk?si=TUTOAP0YcnnbokKc,"Stay mindful, live in the present moment, and focus on adapting rather than resisting change."
Life Transitions,English ,"Bhagavad Gita Chapter 2, Verse 20","For the soul there is neither birth nor death at any time. It has not come into being, does not come into being, and will not come into being. It is unborn, eternal, ever-existing, and primeval; it is not slain when the body is slain",video,https://www.youtube.com/watch?v=7cOZHzB2Yk8,"Small Acts, Big Impact , Inner State Matters, Spirituality Is Everyday Living, Enjoy the Journey, "
Life Transitions,English,"Bhagavad Gita Chapter 2, Verse 70","A person who is not disturbed by the incessant flow of desires—that enter like rivers into the ocean, which is ever being filled but is always still—can alone achieve peace",video,https://www.youtube.com/watch?v=Lp1ywMtqmeo,"Stop Self-Criticism, Start Self-Blessings, Thoughts and Vibrations Matter, Healing Journey"
Life Transitions,English,"Bhagavad Gita Chapter 2, Verse 15","That person who is not disturbed by happiness and distress, and is steady in both, is certainly eligible for liberation",video,https://www.youtube.com/watch?v=xYAEuvAdIS4&list=TLPQMTgwODIwMjWUy8bycdkQ_A&index=2,"Subconscious Reprogramming is Personalized, Use Positive Suggestions, Repetition Is the Gateway, Silence Amplifies Effectiveness"
Life Transitions,English,"Bhagavad Gita Chapter 2, Verse 16","The unreal has no existence, and the real never ceases to be; the seers of truth have concluded the same",video,https://www.youtube.com/watch?v=vuMtdSIO3f4,"Before being perfect outside, be perfect from inside, Be emotionally independent, Become the master of your mind"
Life Transitions,English ,"Bhagavad Gita Chapter 2, Verse 37-38","Therefore, arise with a determination to fight, O Arjuna",video,https://www.youtube.com/watch?v=xYAEuvAdIS4,"Pause Before Reacting, Close Your Eyes, Use a Inner Phrase or Intention"
Life Transitions,English ,"Bhagavad Gita Chapter 2, Verse 47","You have a right to perform your prescribed duties, but you are not entitled to the fruits of your actions. Never consider yourself the cause of the results, and never be attached to inaction.",video,https://www.youtube.com/watch?v=ROgdzkiXqRY,"Close Your Eyes When Agitated, Repeat a Calming Phrase, Embrace Inner Perfection"
Life Transitions,English ,"Bhagavad Gita Chapter 6, Verse 8","That person who is alike in pleasure and pain, who dwells in the self, who regards a lump of earth, a stone, and gold as the same, is said to have attained steadiness of wisdom",video,https://www.youtube.com/watch?v=lqA5MfH6S10,"Cultivate Inner Strength, Embrace Acceptance with Grace, Stay Present to Your Power, Practice Day-to-Day Empowerment"
Life Transitions,English ,"Bhagavad Gita Chapter 5, Verse 20","He who is unattached, who neither rejoices when he obtains something pleasant nor laments when he obtains something unpleasant, is firmly established in perfect knowledge",video,https://www.youtube.com/watch?v=Me6HzUIxjFI,"Craft Four Personalized Affirmations, Repeat Daily, Say with Purpose, Reflect Daily Growth"
Life Transitions,English ,"Bhagavad Gita Chapter 4, Verse 18","Whatever happened, happened for the good. Whatever is happening, is happening for the good. Whatever will happen, will also happen for the good",video,https://www.youtube.com/watch?v=x25Gpawtftk,"Nuture Inner Harmony Daily, Practice Emotional Independence, Strengthen Mental Mastery"
Depression,English,Inner Engineering Online,"This too shall pass — your current feelings are not forever, and every sunrise brings new possibilities.",video,https://www.youtube.com/watch?v=wOGqlVqyvCM,"Use you body, Connect With Nature, eat food that enhances you mental capability and stability, engineer yourself for wellbeing"
Depression,English,Thoughts and the Mind,"Don’t try to stop negative thoughts, says Sadhguru, as there is no such thing as a positive or negative thought.",video,https://www.youtube.com/watch?v=lJCUC0mRkPo,"Don't fight thoughts directly, Stop labeling thoughts as good or bad, Shift focus rather than resist, Increase awareness of your mind's patterns, Engage in purposeful activity"
Depression,English,Thoughts and the Mind,"The line between sanity and insanity is very thin; if you are angry, you are pushing the line.",video,https://www.youtube.com/watch?v=hzvT0vy5cjE,"You're generating it yourself, The line between sanity and insanity is thin, Avoid giving depression incentives, Build resilience through commitment, Reject the ‘sick role’ as comforting"
Depression,English,UnplugWithSadguru#Sadguru,"Most of the depressions are self-created. A few people are pathologically ill, they cannot help it… but almost everyone else can be driven to madness, because the line between sanity and insanity is quite thin.",video,https://www.youtube.com/watch?v=T7cXSZuZp-s,"Recognize your role in your mental state, Don’t dwell on the past, Engage the body to influence the mind, Shift focus to what’s happening now, Avoid making depression part of your identity, Choose empowering actions"
Depression,English,sadguruvideos,"Every thought… depending upon the type of reverberation you create, the whole chemistry is going through a change.",video,https://www.youtube.com/watch?v=_f7xDWZzn4c,"Be mindful of your mental “reverberations”, Avoid prolonged negativity, Recognize early warning signs, Care for the mind like you care for the body, Care for the mind like you care for the body"
Depression,English,Gaur Gopal Das,The quality of your life is determined by how peaceful & joyful you are within yourself.,video,https://www.youtube.com/watch?v=X8Zov4FO9bI,"Pause and observe, Shift your focus, Use narrative or metaphor, Ground yourself in simplicity, Recognize thought as separate"
Depression,English,Gaur Gopal Das,"Good mental health, like good physical health, doesn't happen automatically. We have to take charge and make it happen.",video,https://www.youtube.com/watch?v=O9qRyFOLdQk,"Own your emotional responses, Release what you can’t control, Cultivate inner calm through observation"
Depression,English,Gaur Gopal Das,"Think: Is this in my control? If yes, you can do something about it. If no, then you cannot do anything about it. Therefore, in both circumstances, why worry?",video,https://www.youtube.com/watch?v=LSDTglSLx9c,"Become your own ally, Observe, don’t suppress, Build inner harmony, Self-friendship is key"
Depression,English,Gaur Gopal Das,Healing begins when we go through the pain—experiencing that real pain is a part of the healing process as well.,video,https://www.youtube.com/watch?v=rkWbKSn71vo,"Allow yourself to feel the pain fully, Understand that healing takes time"
Depression,English,Gaur Gopal Das,"When we put in our best effort and don’t see any progress, it’s common to become frustrated and lose hope.",video,https://www.youtube.com/watch?v=RQy3MqPMSqY,"Embrace the process, not just the outcome, Avoid judging by appearances, Cultivate patience as a virtue"
Depression,English,BK Shivani,"When the mind is full of memories and preoccupied by the future, it misses the freshness of the present moment.",video,https://www.youtube.com/watch?v=FCsCQQuYTuo,"Observe without judgment, Refocus your attention consciously, Cultivate simplicity and clarity, Practice self-compassion"
Depression,English,BK Shivani,True healing begins when we stop resisting our inner pain and start embracing it with compassion—only then can peace gently return.,video,https://www.youtube.com/watch?v=d2plwvciAs0,"Watch Your Thought Patterns, Let Go of Expectations, Practice Meditation (Raja Yoga), Use Positive Self-Affirmation, Engage in Activities You Love, Surround Yourself with Positivity"
Depression,English,Brahmakumaris,"When you lose interest in life, it’s a signal to pause, reflect, and rediscover what truly matters to you.",video,https://www.youtube.com/watch?v=aYlaKLXAi-I&list=PL6mmKavEt552Ft9Vm_U8evbLPQf9cyq9i&index=19,"Practice mindfulness, Engage in physical activity, Breathing exercises, Self-inquiry"
Depression,English,Brahmakumaris,"Fulfillment comes from doing what needs to be done, not from waiting for everything to be perfect.",video,https://www.youtube.com/watch?v=TLswxKeWkxo&list=PL6mmKavEt552Ft9Vm_U8evbLPQf9cyq9i&index=18,"Break It Down into Bite-Sized Actions, Celebrate Completion Not Perfection, Anchor Your Day with Routine Checkpoints"
Depression,English,Brahmakumaris,"When love is bound by conditions and expectations, it stops being love — and starts becoming a source of depression.",video,https://www.youtube.com/watch?v=dWFPAF5qi2E&list=PL6mmKavEt552Ft9Vm_U8evbLPQf9cyq9i&index=17,"Set and Communicate Healthy Boundaries, Cultivate Self-Compassion and Self-Worth, Build Supportive Connections Grounded in Unconditional Acceptance, Use Guided Imagery or Visualization for Inner Healing"
Fear,English,Sadguru,"Fear means you're producing horror movies in your mind… produce a comedy, love story, suspense thriller… start using your mind…",video,https://www.youtube.com/watch?v=K7hYf0yIK5w,"Shift your inner narrative, Gradual Exposure (Exposure Therapy), Cognitive Restructuring (""Facts vs. Fears""), Normalize Fear and Acknowledge It, Build Emotional Resilience, "
Fear,English,Sadguru,"When you're 100 years old, you'll regret thinking that fear—an imaginary thing—to happen within you, and you'd jump at the chance to do those things.",video,https://www.youtube.com/watch?v=xCtMcg9kSdI,"Practice mindfulness, Engage in physical activity, Breathing exercises, Self-inquiry, Create a conducive environment, Chanting or affirmations"
Fear,English,"Bhagavad Gita Chapter 2, Verse 47","You have the right to perform your prescribed duties, but you are not entitled to the fruits of your actions. Never consider yourself the cause of the results, and never be attached to not doing your duty.",video,https://www.youtube.com/watch?v=RlF-tO2YVPg,"Shift Your Perspective, Cultivate Self-Confidence, Practice Detachment, Engage in Self-Inquiry"
Fear,English,"Bhagavad Gita Chapter 2, Verse 56","Those who are steadfast in yoga, having abandoned all attachments, see the self in all beings and all beings in the self; they have no fear.",video,https://www.youtube.com/watch?v=TOzJRrGdMCs,"Embrace Ridicule as Part of Life, Focus on Your Own Mind, Laugh at Yourself"
Fear,English,BK Shivani,"No matter how deeply we believe that we are dependent on external factors, the truth is that we have complete freedom to choose our response.",video,https://www.youtube.com/watch?v=rGUTDgszCbw,"Shift from Body-Consciousness to Soul-Consciousness, Recognize and Acknowledge Fear, Use Positive Affirmations, Cultivate Pure Thoughts and Feelings, Practice Meditation with Open Awareness"
Fear,English,BK Shivani,"Choose your thoughts wisely, as they become your reality.",video,https://www.youtube.com/watch?v=Gx8uyx4TUj0,"Acknowledge Fear Rather Than Avoid It, Shift from Body-Consciousness to Soul-Consciousness, Use Positive Thought Affirmations, Break Problems into Manageable Steps"
Fear,English,BK Shivani,"When we see ourselves as souls, not bodies, our fears begin to dissolve.",video,https://www.youtube.com/watch?v=ZtWxzfta-wE,"Transform Inner Habits, Elevate Your Energy Beyond Circumstances, Build Faith in Yourself, Your Destiny, or a Higher Source, Observe and Shift Thought Patterns, Practice Mindful Regulation of Your Energy"
Fear,Hindi,"Bhagavad Gita Chapter 18, Verse 66",Abandon all varieties of dharma and simply surrender unto Me. I shall deliver you from all sinful reactions; do not fear.,video,https://www.youtube.com/watch?v=QZ23krRZNkY,"Anxiety Is Just a Chapter, Not Your Whole Story , Validate Emotions—Don’t Dismiss Them, Focus on What You Can Control, Break the Cycle of Overthinking"
Fear,English and Hindi,"Bhagavad Gita Chapter 2, Verse 15",One who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation.,video,https://www.youtube.com/watch?v=H3qeb5TgZL4,"Recognize the Root: Body-Consciousness, Acknowledge Your Fear, Educate & Understand, Take Small, Intentional Steps, Practice Relaxation Techniques, Challenge Negative Thoughts"
Fear,English and Hindi,"Bhagavad Gita Chapter 16, Verse 1","Fearlessness, purity of heart, cultivation of spiritual knowledge, charity, self-control, sacrifice, study of the Vedas, austerity, and simplicity—these are the qualities of those endowed with a divine nature.",video,https://www.youtube.com/watch?v=TfBz7_oIe1Y,"Breathe and Observe, Bring Awareness to the Body, Name Your Emotion, Return to the Present, Cultivate Trust and Faith, Affirm Your Inner Strength, Focus on What’s in Your Control"
Fear,English and Hindi,"Bhagavad Gita Chapter 4, Verse 39",A faithful man who is absorbed in transcendental knowledge and who subdues his senses quickly attains supreme peace.,video,https://www.youtube.com/watch?v=q2-Axw5EZ30,"Shift Your Identity from the Mind to the Self, Use Calm Breathing to Ground Yourself, Observe Emotions Without Judgment, Anchor Yourself in the Present, Practice Inner Dialogue with Compassion"
Fear ,English ,"Bhagavad Gita Chapter 6, Verse 5","Let a man lift himself by his own self alone; let him not lower himself. For the self alone is his friend, and the self alone is his enemy.",video,https://www.youtube.com/watch?v=xAbbNqvSbPg,"Anchor in the Present through Breath, Witness, Don’t Identify, Speak with Compassion—Internal Reassurance, Use Awareness to Shift Your State, Respond, Don’t React"
Fear ,English and Hindi,"Bhagavad Gita Chapter 12, Verse 15","He by whom no one is put into difficulty, and who is not disturbed by anyone, who is equipoised in happiness and distress, fear and anxiety—he is very dear to Me.",video,https://www.youtube.com/watch?v=uzOIHlg8oRc,"Recognize Your Spiritual Significance, Invoke Divine Support When You Feel Alone, Affirm Your Inner Power, Visualize Success Beforehand, Acknowledge the Harm of Fear"
Fear ,English,"Bhagavad Gita Chapter 2, Verse 20","For the soul there is neither birth nor death at any time. It is unborn, eternal, ever-existing, and primeval; it is not slain when the body is slain.",video,https://www.youtube.com/watch?v=XoLjsTOjZVc,"Identify & Allow the Feeling, Observe Without Judgment, Trace the Root Cause, Shift to Self-Valuation, Practice Compassion—For Yourself & Others"
Fear,English and Hindi,"Bhagavad Gita Chapter 2, Verse 56","One whose mind is undisturbed in sorrow, free from longing in pleasure, and who has transcended attachment, fear, and anger is called a sage of steady wisdom.",video,https://www.youtube.com/watch?v=X2IvvY2IMKM&list=TLPQMTQwODIwMjWwwNlqs7BNAg&index=2,"Understand the Eternal Nature of the Soul, Cultivate Steady Wisdom, Surrender to the Divine, Act Without Attachment to Results, Strengthen Faith Through Knowledge"
Fear ,English,"Bhagavad Gita Chapter 11, Verse 49","Do not be afraid or bewildered by seeing this terrible form of Mine. Be free from fear and with a cheerful mind, behold once again My form as you knew it before",video,https://www.youtube.com/watch?v=Qm7adIHJaB8,"Worry Less, Live More, Avoid Creating Fear Through Defense, Acknowledge That Fear is Natural, Yet Risky"
Sadness,English,Brahma Kumaris,"Every sorrow is temporary, because your soul is eternal and full of light.",video,https://youtu.be/YyCXp_E4sMU?si=ctLVhS59kYUdpBfS,"studying, practicing, healing, pushing through sadness"
