Issue,Language,Question,Option,Audio
Anger,English,What situation is making you angry?,Feeling misunderstood or unheard | Injustice or unfair treatment | Someone breaking my trust | Feeling powerless and controlled,https://www.soundjay.com/nature/sounds/river-1.mp3
Anger,English,How do you usually express your anger?,"Raising my voice or arguing |Staying silent but holding resentment |Avoiding the situation altogether | Expressing through physical actions (e.g., slamming things)",https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Anger,English,What would help you feel more peaceful?,Talking it out calmly | Taking time alone to cool off | Engaging in a physical activity | Writing down my thoughts,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Fear,English,What triggers your fear most often?,Uncertainty about the future | Fear of rejection or judgment | Fear of failure | Fear for loved ones’ safety,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Fear,English,How do you usually deal with fear?,Avoiding the fearful situation | Facing it gradually | Seeking comfort in others | Trying to distract myself,https://www.soundjay.com/nature/sounds/forest-1.mp3
Fear,English,What helps you feel safe when afraid?,"Being around people I trust | Having a plan of action | Calming activities (breathing, meditation) | Reminding myself of my strengths",https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Depression,English,What thought do you struggle with the most?,I’m not good enough. | Nothing will ever change. | I’m a burden to others. | I feel empty inside.,https://www.soundjay.com/nature/sounds/river-1.mp3
Depression,English,How does depression affect your daily life?,Low energy and fatigue | Trouble focusing on tasks | Losing interest in activities I once enjoyed | Disturbed sleep patterns,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Depression,English,"What helps you cope, even a little?",Talking with someone who listens | Journaling or self-reflection | Physical activity or movement | Small achievements or routines,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Self-Doubt,English,In which area do you doubt yourself the most?,Career or academics | Relationships | Social interactions | Personal abilities/talents,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Self-Doubt,English,How do you respond when self-doubt arises?,Overthinking every detail | Comparing myself to others | Avoiding challenges altogether | Seeking reassurance from others,https://www.soundjay.com/nature/sounds/forest-1.mp3
Self-Doubt,English,What helps you feel more confident?,Remembering past successes | Encouragement from loved ones | Practicing and preparing | Positive self-talk,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Sadness,English,What usually makes you feel sad?,Losing someone or something important | Feeling lonely or left out |Facing failure or rejection | Watching others suffer,https://www.soundjay.com/nature/sounds/river-1.mp3
Sadness,English,How do you react when you feel sad?,Crying or tearing up | Isolating myself from others | Distracting myself with activities | Sharing my feelings with someone I trust,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Sadness,English,What comforts you the most when you’re sad?,Listening to calming music | Spending time with loved ones | Talking about my feelings | Resting or sleeping,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Life Transitions,English,What kind of life change feels most overwhelming?,Moving to a new place | Starting/losing a job | Relationship changes | Academic/career pressure,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Life Transitions,English,How do you usually handle big changes?,Planning everything in detail | Seeking support from family/friends | Avoiding thinking about it | Taking it one step at a time,https://www.soundjay.com/nature/sounds/forest-1.mp3
